name,geo3x3,category,description,model,URL
鯖江駅改札,E913873234791447,POI,出入り口は西側にひとつ！,,
めがねのまちさばえモニュメント,E913873234783212,POI,赤いめがねが特徴！,,
メガネストリート入り口の地下道,E913873234767116,POI,めがね会館までめがねスポットだらけ,,
サンドーム福井,E913873223666861,POI,1万人入るドーム,,https://sundome.sankan.jp/
快活クラブ 鯖江店,E913873231817351,遊び場,カラオケあり,,https://www.kaikatsu.jp/shop/detail/20422.html
ファミマ 鯖江宮前二丁目店,E913873231732349,コンビニ,,,https://www.family.co.jp/
ローソン 鯖江宮前,E913873234133482,コンビニ,サンドーム福井最寄り,,https://www.lawson.co.jp/
ローソン 鯖江インター,E913873238495479,コンビニ,,,https://www.lawson.co.jp/
セブン-イレブン キヨスクＪＲ鯖江駅店,E913873234791146,コンビニ,営業時間 朝6:40〜夜20:00,,https://www.sej.co.jp/
セブン-イレブン 東鯖江2丁目店,E913873237386969,コンビニ,,,https://www.sej.co.jp/
セブン-イレブン 鯖江インター店,E913873238493456,コンビニ,,,https://www.sej.co.jp/
秋吉 瓜生店,E913849889798316,飲食,やきとりの名門,,https://www.akiyoshi.co.jp/m/shop/shop_details/fukui/uryu.html
秋吉 鯖江店,E913873234945813,飲食,やきとりの名門,,https://www.akiyoshi.co.jp/m/shop/shop_details/fukui/sabae.html
西山公園,E913873229543449,遊び場,広い無料公園、動物園もある,,https://www.city.sabae.fukui.jp/kanko/playing/nishiyama.html
西山動物園,E913873229815727,遊び場,日本一狭い動物園、無料！,,https://www.city.sabae.fukui.jp/nishiyama_zoo/
ヨーロッパ軒 神明分店,E913873255322863,飲食,福井に来たらソースカツ丼！,model/paken-katsudon.glb,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
jig.jp,E913873235858978,POI,アフターパーティーするよ,,https://jig.jp/
めがねミュージアム,E913873235844734,POI,鯖江のめがねがたくさん,,https://www.megane.gr.jp/museum/
惣,E913873234757366,飲食,ダイニングバー,,https://www.instagram.com/so_sabaeekimae/
中野商店,E913873234758474,バー,梵のカクテルもある！,,https://www.facebook.com/atticroomnakano/
シャプラの2階,E913873234773978,飲食,本格タイ料理,,https://www.instagram.com/shapla_2f/
La Tempo,E913873229328625,カフェ,日替わりカフェ,,https://latempo-sabae.com/
SLIM The Coffee Resort,E913873234812321,カフェ,本格コーヒー＆スイーツ,,http://slim.velvet.jp/index.html/
coffee shop HONANO,E913873234185511,カフェ,本格コーヒー,,https://www.instagram.com/honano2019/?hl=ja
EIGHT SENSE,E913873238484649,カフェ,カフェ＆メガネ屋さん！,,https://www.facebook.com/cafeeight8sense/
ミート＆デリカささき,E913873229391488,テイクアウト,鯖江に来たらサバエドッグ！,,https://dearfukui.jp/gourmet/544
FREE,E913873229359143,ラーメン,深夜2時まで！,model/free-ramen.glb,https://www.fukuishimbun.co.jp/feature/fu/gourmet?id=59e9970e77656121e0000000
DOPEMEN NOPEMEN,E913873229355336,ラーメン,2023/10/14 11時オープン！,,https://www.instagram.com/dopemen_nopemen/
魂心家 鯖江店,E913873234564187,ラーメン,横浜家系ラーメン,,http://www.konshinya.com/shop/sabae.html
8番らーめん 鯖江店,E913873237326233,ラーメン,北陸に来たら8番らーめん,,https://www.hachiban.jp/
Hana道場,E913873229333777,遊び場,20歳以下はレーザーカッター、3Dプリンター、IchigoJamが利用料無料,,https://hanadojo.com/
天喰家,E913873226998347,飲食,へしこのおにぎりオススメ！,,https://www.onfuku.com/shop/1340/
中華そばRyo,E913873234983814,ラーメン,鶏白湯、まぜそば,,https://www.instagram.com/ryo.since2017/
しゅんしゅんめん,E913873237336529,ラーメン,ネギラーメン,,https://www.instagram.com/shun_shun_men/
まほろば 鯖江店,E913873237353949,ラーメン,平飼い鶏の卵まぜそば,,https://twitter.com/mahoroba0425
岩本屋 東鯖江店,E913873237626512,ラーメン,,,https://iwamotoya.jp/locations/23.html
DAISO 東鯖江店,E913873234677595,ショップ,24時間営業ヤスサキワイプラザ内、いつでもはんだごてが買える！,,https://www.daiso-sangyo.co.jp/shop/detail/004443
ケーズデンキ 越前店,E913873231138831,ショップ,家電量販店,,https://www.ksdenki.com/shop/s/s0524147/
ヤマダデンキ テックランド,E913849897871566,ショップ,家電量販店、日用品もあり,,https://www.yamada-denki.jp/store/contents/?d=279
マクドナルド鯖江小黒店,E913873228682521,ファストフード,,./model/ps-potato.glb,https://map.mcdonalds.co.jp/map/18525
モスバーガー鯖江店,E913873234985688,ファストフード,,,https://www.mos.jp/shop/detail/?shop_cd=04424
